               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.014975,           0.0087681,           0.0086476,             0.57131,             0.79028,             0.68344,             0.58674,            0.013128,           0.0029652,           0.0057028,             0.00307,             0.00307,             0.00307
                  37,            0.015422,           0.0090144,           0.0083216,             0.67366,              0.7483,              0.7438,             0.64849,            0.013144,            0.003013,           0.0047624,            0.002872,            0.002872,            0.002872
                  38,            0.014784,           0.0086019,           0.0076706,              0.6075,              0.7208,             0.72146,             0.63318,            0.013167,           0.0030003,           0.0046402,            0.002674,            0.002674,            0.002674
                  39,            0.013725,            0.008446,           0.0081077,              0.6611,             0.66937,             0.69605,             0.61157,            0.012734,           0.0029623,           0.0044584,            0.002476,            0.002476,            0.002476
                  40,            0.013835,           0.0087085,           0.0084852,             0.58842,             0.85979,             0.73551,             0.64772,            0.012443,           0.0029489,           0.0045434,            0.002278,            0.002278,            0.002278
                  41,            0.013802,           0.0085829,           0.0077699,             0.67454,             0.73331,              0.7219,             0.63088,            0.012396,           0.0029657,           0.0047599,             0.00208,             0.00208,             0.00208
                  42,            0.014061,           0.0087182,           0.0077596,             0.59503,             0.79353,             0.73218,             0.65006,            0.013061,           0.0029132,           0.0048155,            0.001882,            0.001882,            0.001882
                  43,            0.014684,           0.0085082,           0.0082097,             0.66714,             0.75945,             0.76583,             0.67485,            0.012454,             0.00293,           0.0047015,            0.001684,            0.001684,            0.001684
                  44,             0.01253,           0.0082286,           0.0074923,              0.6372,             0.74514,              0.7542,             0.66309,            0.012421,           0.0028808,           0.0045719,            0.001486,            0.001486,            0.001486
                  45,            0.012579,           0.0081488,           0.0072239,             0.65906,             0.70163,             0.73986,             0.64907,            0.012017,           0.0029033,           0.0043025,            0.001288,            0.001288,            0.001288
                  46,            0.012882,           0.0083513,           0.0075672,             0.72672,             0.66968,             0.77168,             0.67492,            0.011739,           0.0028699,           0.0042397,             0.00109,             0.00109,             0.00109
                  47,            0.012613,           0.0084342,           0.0075558,             0.66627,             0.71514,             0.73184,             0.64965,            0.011848,           0.0028604,           0.0045285,            0.000892,            0.000892,            0.000892
                  48,            0.012929,            0.008164,           0.0070017,             0.66983,              0.7241,             0.75662,             0.67133,            0.011815,           0.0028376,           0.0045864,            0.000694,            0.000694,            0.000694
                  49,            0.012158,           0.0082419,           0.0072434,             0.67646,             0.80464,             0.80004,             0.71234,            0.011631,           0.0028115,           0.0042618,            0.000496,            0.000496,            0.000496
